awards,name,station,genre,pr,dinner_budget,lunch_budget,rating,holiday,url,reserve_status,reserve_method,transportation,opening_time,extra_holiday_info,payment_methods,geo_coordinates,telephone,address,num_review,type,visited,latitude,longitude
The Tabelog Award 2024 Gold 受賞店,日本橋蛎殻町 すぎた,水天宮前駅 101m , 寿司,江戸前の真髄をいまに伝える握り。進化し続ける職人技と細やかな気配りで魅せる正統派江戸前鮨。,"￥40,000～￥49,999","￥40,000～￥49,999",4.68,-,https://tabelog.com/tokyo/A1302/A130204/13018162/,完全予約制,,水天宮前駅4番出口から徒歩約2分 水天宮前駅から101m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.68192953872146,139.78492058437854",03-3669-3855,東京都中央区日本橋蛎殻町1-33-6 ビューハイツ日本橋 B1F ,822,sushi,False,35.68192953872146,139.78492058437854
The Tabelog Award 2024 Gold 受賞店,東麻布 天本,赤羽橋駅 259m , 寿司,名店の魂を継承し、極上の魚に技巧を尽くす現代江戸前鮨の未来,"￥40,000～￥49,999","￥40,000～￥49,999",4.61,水曜日、日曜日,https://tabelog.com/tokyo/A1314/A131401/13196420/,完全予約制,※ご予約はウェブサイトからのみ受付けます。ご来店時やお電話・メールなどその他の方法によるお問い合わせは一切受け付けておりません。,都営大江戸線 赤羽橋駅 徒歩4分 東京メトロ日比谷線 神谷町駅 徒歩10分 赤羽橋駅から259m,,,カード可 （VISA、Master、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.65730923872389,139.7434470841589",不明の為情報お待ちしております,東京都港区東麻布1-7-9 ザ・ソノビル 102,531,sushi,False,35.65730923872389,139.7434470841589
The Tabelog Award 2024 Gold 受賞店,鮨 あらい,銀座駅 443m , 寿司,"久兵衛、すし匠を経て弱冠33歳で独立。""握り""にこだわった新しい世代の銀座寿司","￥50,000～￥59,999","￥50,000～￥59,999",4.6,水曜日,https://tabelog.com/tokyo/A1301/A130101/13188186/,予約可,,東京メトロ「銀座駅」A5出口から徒歩5～6分 銀座駅から443m,,,カード可 （JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.668071938723195,139.76271398425413",03-6264-5855,東京都中央区銀座8-10-2 ルアンビル B1F 2F,810,sushi,False,35.668071938723195,139.76271398425413
The Tabelog Award 2024 Gold 受賞店,鮨 さいとう,六本木一丁目駅 74m , 寿司,美しく丁寧な所作と情熱が織り成す、珠玉の握り。世界が認めた鮨のたおやかなる余韻に浸る。,"￥30,000～￥39,999","￥30,000～￥39,999",4.59,日曜日、祝日,https://tabelog.com/tokyo/A1308/A130802/13015251/,完全予約制,新規の電話ご予約は受け付けておりません。予約サイト「食オク」にて限定でご予約を承ります。,溜池山王駅徒歩5分虎ノ門駅徒歩8分 六本木一丁目駅から74m,12:00 - 14:00,■ 定休日但し、連休にならない祝日は除く,カード可 （VISA、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.665376438717544,139.7395882842431",03-3589-4412,東京都港区六本木1-4-5 アークヒルズサウスタワー 1Ｆ,1130,sushi,False,35.665376438717544,139.7395882842431
The Tabelog Award 2024 Gold 受賞店,鮨 なんば 日比谷,日比谷駅 94m , 寿司,舎利と種の温度を1℃単位で変える。飽くなき探究心に圧倒される、美味を極めた究極の一貫。,"￥50,000～￥59,999","￥50,000～￥59,999",4.56,-,https://tabelog.com/tokyo/A1301/A130102/13219857/,完全予約制,新規のご予約は予約サイト「食オク」にて承ります。,日比谷駅から94m,,,カード可 電子マネー不可 QRコード決済不可,"35.67417923871825,139.75938558431815",03-6273-3334,東京都千代田区有楽町1-1-2 東京ミッドタウン日比谷 3F,779,sushi,False,35.67417923871825,139.75938558431815
The Tabelog Award 2024 Gold 受賞店,三谷,四ツ谷駅 333m , 寿司,,"￥40,000～￥49,999","￥40,000～￥49,999",4.55,月曜日、火曜日,https://tabelog.com/tokyo/A1309/A130902/13042204/,完全予約制,完全予約制(予約には紹介者が必要),ＪＲ中央線【四ツ谷駅】徒歩４分東京メトロ丸ノ内線・南北線【四ツ谷駅】徒歩５分 四ツ谷駅から333m,18:00 - 22:30L.O. 22:00,■ 営業時間ランチ営業なし,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.68753553869972,139.72787208447514",03-5366-0132,東京都新宿区四谷1-22-1 ,297,sushi,False,35.68753553869972,139.72787208447514
The Tabelog Award 2024 Silver 受賞店,さわ田,銀座駅 186m , 寿司,,"￥50,000～￥59,999","￥50,000～￥59,999",4.54,月曜日、木曜日、日曜日,https://tabelog.com/tokyo/A1301/A130101/13001043/,完全予約制,,東京メトロ「銀座駅」A5出口より徒歩1分（東銀座駅からも至近） 銀座駅から186m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.67046213872248,139.7652437842765",03-3571-4711,東京都中央区銀座5-9-19 ＭＣビル3Ｆ,521,sushi,False,35.67046213872248,139.7652437842765
The Tabelog Award 2024 Silver 受賞店,鮨 尚充,中目黒駅 487m , 寿司,至上のうに握りを食べ比べ。圧巻のパフォーマンスでうにラヴァーを魅了する、中目黒の名店,"￥50,000～￥59,999","￥50,000～￥59,999",4.5,日曜日,https://tabelog.com/tokyo/A1317/A131701/13128483/,予約可,,東急東横線、地下鉄日比谷線、中目黒駅下車。徒歩１０分 中目黒駅から487m,18:00 - 00:00,■ 定休日日曜日（月曜日が祝日の場合は休業）,カード可 （JCB、AMEX） 電子マネー不可 QRコード決済不可,"35.647416538714815,139.6952084840928",03-3712-6999,東京都目黒区青葉台1-28-2 EXA 1F,604,sushi,False,35.647416538714815,139.6952084840928
The Tabelog Award 2024 Silver 受賞店,島津,白金高輪駅 56m , 寿司,,"￥40,000～￥49,999","￥40,000～￥49,999",4.5,月曜日、日曜日,https://tabelog.com/tokyo/A1316/A131602/13252991/,完全予約制,,白金高輪駅3番出口　徒歩2分 白金高輪駅から56m,18:00 - 22:45,■ 営業時間［火・水・木・金・土］第一部18:00～20:15第二部20:30～22:45,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.64316633872975,139.73363878402293",不明の為情報お待ちしております,東京都港区白金1-29-13 白金ヴィレッジ 1F,399,sushi,False,35.64316633872975,139.73363878402293
The Tabelog Award 2024 Silver 受賞店,すし匠,四ツ谷駅 192m , 寿司,進化を続ける、すし匠の江戸前鮨。熟成と研ぎ澄まされた技が輝く究極の味を堪能する。,"￥40,000～￥49,999","￥40,000～￥49,999",4.43,日曜日,https://tabelog.com/tokyo/A1309/A130902/13000852/,予約可,毎月１日に翌月の予約受付開始,ＪＲ中央線、東京メトロ丸ノ内線・南北線【四ツ谷駅】徒歩4分 四ツ谷駅から192m,11:30 - 13:30,■ 定休日祝日の月曜、GW、年末年始,カード可 （VISA、JCB、AMEX、Diners）,"35.68557683870112,139.72831898445503",03-3351-6387,東京都新宿区四谷1-11 陽臨堂ビル　１Ｆ,1002,sushi,False,35.68557683870112,139.72831898445503
