awards,name,station,genre,pr,dinner_budget,lunch_budget,rating,holiday,url,reserve_status,reserve_method,transportation,opening_time,extra_holiday_info,payment_methods,geo_coordinates,telephone,address,num_review,type,visited,latitude,longitude
The Tabelog Award 2024 Bronze 受賞店,とんかつ成蔵,南阿佐ケ谷駅 345m , とんかつ,目指したのは豚肉の魅力を極限まで引き出すこと。試行錯誤の末にたどり着いた白いとんかつ。,"￥5,000～￥5,999","￥5,000～￥5,999",4.27,月曜日、火曜日、金曜日,https://tabelog.com/tokyo/A1319/A131905/13236380/,完全予約制,予約はomakaseのサイトより,東京メトロ丸の内線南阿佐ヶ谷駅から６分JR中央線、総武線阿佐ヶ谷駅から12分 南阿佐ケ谷駅から345m,10:40 - 14:00L.O. 料理13:10,■ 営業時間11:00～14:00(最終入店13:30)17:30～20:00(最終入店19:30)■ 定休日不定休,カード可 電子マネー不可 QRコード決済不可,"35.69770483866489,139.6387445846403",03-6882-5214,東京都杉並区成田東4-33-9 ,1540,tonkatsu,True,35.69770483866489,139.6387445846403
食べログ とんかつ 百名店 2024 選出店,とん太,高田馬場駅 417m , とんかつ,,"￥2,000～￥2,999","￥2,000～￥2,999",3.95,月曜日、火曜日、木曜日、日曜日、祝日,https://tabelog.com/tokyo/A1305/A130503/13003984/,予約不可,,JR山手線・西武新宿線・東京メトロ東西線「高田馬場」駅から徒歩6分 高田馬場駅から417m,17:30 - 20:30,■ 営業時間水、金、土　17:30~20:3021:00時閉店よろしくお願い申し上げます,カード不可 電子マネー不可 QRコード決済不可,"35.71553233867518,139.70660148477288",03-3989-0296,東京都豊島区高田3-17-8 ,1666,tonkatsu,True,35.71553233867518,139.70660148477288
食べログ とんかつ 百名店 2024 選出店,Katsuプリポー,西武新宿駅 306m , とんかつ、かつ丼,PRETTYPORKFACTORY&KATSUプリポー原宿も営業してます,"￥6,000～￥7,999","￥6,000～￥7,999",3.94,,https://tabelog.com/tokyo/A1304/A130401/13264309/,予約可,かつ丼は原宿店のみの提供に変更になりましたKatsudon is now only available at the Harajuku store,JR新宿駅東口から徒歩3分東京メトロ新宿駅から徒歩3分 西武新宿駅から306m,12:00 - 15:00,■ 定休日年末年始,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、nanaco、WAON、iD、QUICPay） QRコード決済可 （PayPay、楽天ペイ）,"35.69474893868723,139.70300358456544",03-3209-2930,東京都新宿区歌舞伎町1-10-3 G3ビル 2F,791,tonkatsu,False,35.69474893868723,139.70300358456544
食べログ すき焼き・しゃぶしゃぶ 百名店 2024 選出店,PRETTY PORK FACTORY & KATSUプリポー,明治神宮前駅 107m , しゃぶしゃぶ、とんかつ、韓国料理,原宿でも最高な銘柄豚でしゃぶしゃぶ▪︎和風サムギョプサル▪︎とんかつが楽しめます,"￥8,000～￥9,999","￥8,000～￥9,999",3.92,,https://tabelog.com/tokyo/A1306/A130601/13295369/,予約可,,明治神宮駅 直通 明治神宮前駅から107m,,,カード可 （VISA、Master、JCB、AMEX） 電子マネー可 QRコード決済可,"35.668424947177506,139.70489861709638",03-6805-0290,東京都渋谷区神宮前6-31-21 東急プラザ原宿ハラカド 506,264,tonkatsu,False,35.668424947177506,139.70489861709638
食べログ とんかつ 百名店 2024 選出店,とんかつ けい太 西荻窪駅前店,西荻窪駅 40m , とんかつ,,"￥3,000～￥3,999","￥3,000～￥3,999",3.9,月曜日、木曜日、金曜日,https://tabelog.com/tokyo/A1319/A131907/13241723/,完全予約制,・お電話でのご予約は承っておりません。ネット予約をご利用ください・2023年6月から、原材料高騰の為、一部メニューの価格を改訂致します。ご迷惑をおかけ致しますが、何卒ご了承のほどよろしくお願い致します・希望日時、人数が確定してからのご連絡をお願いいたします。・駐車場なし。車でのご来店は渋滞の恐れがあるためお勧めしておりません。西荻窪駅南口徒歩10秒です。,【JR西荻窪駅　徒歩10秒】南口を出ていただき、右に進んでいただくと、牛丼チェーンの松屋さんがあります。その向かいのビル地下1階になります。※車は渋滞に巻き込まれる方が多いため、電車でのご来店をお勧めしております。予約時間に遅れた場合はお断りさせていただく場合がございます。 西荻窪駅から40m,11:00 - 15:00L.O. 14:00,■ 営業時間【注意事項】ランチ70分制、ディナー90分制、1名様は各時間帯60分制,カード可 電子マネー可 （交通系電子マネー（Suicaなど）） QRコード決済可,"35.703524838648825,139.59989708472636",050-1721-4377,東京都杉並区西荻南3-10-6 中村ビル B1F,885,tonkatsu,True,35.703524838648825,139.59989708472636
食べログ 洋食 百名店 2023 選出店,ぽん多本家,上野広小路駅 144m , 洋食、とんかつ,,"￥5,000～￥5,999","￥5,000～￥5,999",3.88,月曜日,https://tabelog.com/tokyo/A1311/A131101/13003587/,予約可,予約は2名以上,東京メトロ銀座線　上野広小路駅　徒歩1分JR山手線・京浜東北線　御徒町駅（南口） 徒歩2分都営地下鉄大江戸線　上野御徒町駅　徒歩3分東京メトロ日比谷線　仲御徒町駅　徒歩4分東京メトロ千代田線　湯島駅　徒歩5分 上野広小路駅から144m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.70634213870216,139.77300328463346",03-3831-2351,東京都台東区上野3-23-3 ,1621,tonkatsu,False,35.70634213870216,139.77300328463346
食べログ とんかつ 百名店 2024 選出店,車力門 ちゃわんぶ,四谷三丁目駅 207m , とんかつ、カレー,,"￥4,000～￥4,999","￥4,000～￥4,999",3.87,水曜日,https://tabelog.com/tokyo/A1309/A130903/13234679/,予約可,,地下鉄丸の内線四谷三丁目駅から徒歩4分 四谷三丁目駅から207m,11:00 - 14:00,■ 営業時間20:00最終入店※20:00を過ぎてのご来店の場合、事前に献立を決めて頂き、到着時間をお伝えください■ 定休日水曜日（お盆・正月休み・臨時休業あり）,カード不可 電子マネー不可 QRコード決済不可,"35.688871138697216,139.72262568449233",03-6384-2544,東京都新宿区荒木町3-22 島ビル 1F,760,tonkatsu,True,35.688871138697216,139.72262568449233
食べログ とんかつ 百名店 2024 選出店,とんかつ七井戸,外苑前駅 396m , とんかつ,申し訳ございません。ラストオーダー13:30に変更となっております。,-,-,3.78,月曜日、土曜日、日曜日、祝日,https://tabelog.com/tokyo/A1306/A130603/13229075/,予約不可,,最寄駅東京メトロ外苑前駅徒歩5分東京メトロ表参道駅徒歩10分東京メトロ明治神宮前駅徒歩10分JR原宿駅徒歩15分 外苑前駅から396m,11:00 - 14:00L.O. 13:30,■ 営業時間臨時休業、臨時営業の場合にはInstagram、食べログにてお知らせいたします。現在、夜の営業はお休みしております。,カード可 （VISA、Master、AMEX） 電子マネー不可 QRコード決済可 （PayPay、d払い）,"35.67182393870523,139.7138057843263",080-8190-1331,東京都渋谷区神宮前3-42-11 ローザビアンカ 1F,529,tonkatsu,True,35.67182393870523,139.7138057843263
食べログ とんかつ 百名店 2024 選出店,丸五,秋葉原駅 354m , とんかつ,,"￥1,000～￥1,999","￥1,000～￥1,999",3.76,月曜日、火曜日,https://tabelog.com/tokyo/A1310/A131001/13000379/,予約不可,,JR総武線・山手線・京浜東北線「秋葉原駅」電気街口より、徒歩4分JR総武線・中央線「御茶ノ水駅」聖橋口より、徒歩10分都営地下鉄 新宿線「小川町駅」A3出口より、徒歩5分東京メトロ 丸ノ内線「淡路町駅」3出口より、徒歩5分東京メトロ 銀座線「末広町駅」3出口より、徒歩10分首都圏新都市鉄道 つくばエクスプレス「秋葉原駅」A2出口より、徒歩10分東京メトロ 日比谷線「秋葉原駅」2出口より、徒歩10分 秋葉原駅から354m,,,カード不可 電子マネー不可 QRコード決済不可,"35.699138338705694,139.76972718456298",03-3255-6595,東京都千代田区外神田1-8-14 ,2839,tonkatsu,False,35.699138338705694,139.76972718456298
食べログ とんかつ 百名店 2024 選出店,丸一,京急蒲田駅 333m , とんかつ,,"￥2,000～￥2,999","￥2,000～￥2,999",3.75,月曜日、日曜日、祝日,https://tabelog.com/tokyo/A1315/A131503/13017765/,予約不可,,京急本線【京急蒲田駅】徒歩５分ＪＲ京浜東北線【蒲田駅】徒歩６分東急池上線・多摩川線【蒲田駅】徒歩９分 京急蒲田駅から333m,,,カード不可 電子マネー不可 QRコード決済不可,"35.56153983877733,139.72024958320782",03-3739-0156,東京都大田区蒲田5-28-12 ,2117,tonkatsu,False,35.56153983877733,139.72024958320782
