awards,name,station,genre,pr,dinner_budget,lunch_budget,rating,holiday,url,reserve_status,reserve_method,transportation,opening_time,extra_holiday_info,payment_methods,geo_coordinates,telephone,address,num_review
The Tabelog Award 2024 Gold 受賞店,たきや,麻布十番駅 154m , 天ぷら,,"￥40,000～￥49,999","￥40,000～￥49,999",4.53,-,https://tabelog.com/tokyo/A1307/A130702/13185763/,完全予約制,,都営大江戸線「麻布十番」駅　7番出口　徒歩3分東京メトロ南北線麻「布十番駅」駅　4番出口　徒歩3分 麻布十番駅から154m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.65559283872222,139.73476758414765",03-6804-1732,東京都港区麻布十番2-8-6 ラベイユ麻布十番 2F,324
The Tabelog Award 2024 Silver 受賞店,日本橋 蕎ノ字,人形町駅 189m , 天ぷら,江戸前の本場で、静岡の素材を使った風味豊かな天ぷらと、〆に供される手打ち蕎麦の喉ごしに酔う,"￥30,000～￥39,999","￥30,000～￥39,999",4.38,-,https://tabelog.com/tokyo/A1302/A130204/13201969/,予約可,「キャンセルポリシー」3日前から50％、前日から100%のキャンセル料がかかります。蕎麦アレルギーの方、強い香水はご遠慮下さい。食オクでも予約可能でございます。shokuoku.com/restaurant/?rstid=29,東京メトロ日比谷線【人形町駅】徒歩３分都営地下鉄浅草線【人形町駅】徒歩４分東京メトロ半蔵門線【水天宮前駅】徒歩５分都営地下鉄新宿線【浜町駅】徒歩６分 人形町駅から189m,12:00 - 14:00,※不定休あり※おまかせコースのみ。一斉スタートとなります。,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.68623363871861,139.78453888442226",03-5643-1566,東京都中央区日本橋人形町2-22-11 井上ビル 1F,404
The Tabelog Award 2024 Silver 受賞店,くすのき 本店,四ツ谷駅 224m , 天ぷら,,"￥100,000～","￥100,000～",4.37,-,https://tabelog.com/tokyo/A1309/A130902/13223239/,完全予約制,会員制,四谷駅より徒歩３分 四ツ谷駅から224m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.685997638957026,139.72806755050678",非公開,東京都新宿区四谷1-9-4 ,302
The Tabelog Award 2024 Silver 受賞店,銀座 きた川,銀座一丁目駅 254m , 日本料理、天ぷら,「銀座 しのはら」の粋と技を継承する日本料理店。,"￥30,000～￥39,999","￥30,000～￥39,999",4.36,-,https://tabelog.com/tokyo/A1301/A130101/13275790/,完全予約制,,東京メトロ銀座一丁目駅徒歩2分東京メトロ銀座駅徒歩3分 銀座一丁目駅から254m,,,カード可 （AMEX） 電子マネー不可 QRコード決済不可,"35.67212863872239,139.76826878429122",03-6264-2872,東京都中央区銀座2-10-11 マロニエ通り銀座館 3F,277
The Tabelog Award 2024 Bronze 受賞店,てんぷら 深町,京橋駅 44m , 天ぷら,料理一筋50年の料理長が揚げる珠玉のてんぷら。これからも受け継がれる、江戸前伝統の味と技。,"￥20,000～￥29,999","￥20,000～￥29,999",4.26,-,https://tabelog.com/tokyo/A1302/A130202/13004105/,予約可,※昼、夜共にコース料理のみご予約の際はお電話、又はオートリザーブ（予約サイト）でお受け致しております。,東京メトロ銀座線 京橋駅 徒歩1分 京橋駅から44m,,,カード可 電子マネー不可 QRコード決済不可,"35.67647412092464,139.77049557645483",03-5250-8777,東京都中央区京橋2-5-2 A・M京橋ビル 1F,886
The Tabelog Award 2024 Bronze 受賞店,みかわ 是山居,門前仲町駅 462m , 天ぷら,芸術に浸かり味わう江戸前の粋と、その口福。生きる伝説が追求した至高の天ぷらがここに。,"￥20,000～￥29,999","￥20,000～￥29,999",4.24,-,https://tabelog.com/tokyo/A1313/A131303/13090866/,完全予約制,,東西線　大江戸線・門前仲町駅歩いて８分。 門前仲町駅から462m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.67545563872817,139.79307068430742",03-3643-8383,東京都江東区福住1-3-1 ,671
食べログ 天ぷら 百名店 2023 選出店,天ぷら浅沼,日本橋駅 133m , 天ぷら,食材と衣が織りなす調和。若き天ぷら職人が紡ぎ出す“衣を味わう天ぷら”の世界,"￥15,000～￥19,999","￥15,000～￥19,999",4.08,水曜日,https://tabelog.com/tokyo/A1302/A130202/13275655/,予約可,※現在お電話、ネットでのご予約を受け付けておりません。御用の方は留守番電話、又は当店のインスタグラムへメッセージをお願い致します。ご迷惑をおかけします。,東京メトロ銀座線・東西線　日本橋駅都営地下鉄浅草線　日本橋駅徒歩1分　日本橋駅から133m 日本橋駅から133m,12:00 - 15:00,■ 定休日不定休,カード可 電子マネー不可 QRコード決済不可,"35.68099043871877,139.77460498437625",03-4400-5977,東京都中央区日本橋2-10-11 ordin日本橋ビル 6F,283
食べログ 天ぷら 百名店 2023 選出店,てんぷら 近藤,銀座駅 119m , 天ぷら,東京における天ぷらの最高峰。職人歴50年を経てなお進化を続ける技に酔いしれる,"￥20,000～￥29,999","￥20,000～￥29,999",4.06,日曜日,https://tabelog.com/tokyo/A1301/A130101/13004993/,予約可,,東京メトロ　銀座駅　徒歩３分（B5出口） 銀座駅から119m,12:00 - 15:00L.O. 13:30,■ 営業時間12:00～の回と13:30～の回の2部制■ 定休日日曜（月曜が祝日の場合休）,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.67116923872138,139.76317848428508",03-5568-0923,東京都中央区銀座5-5-13 坂口ビル　9Ｆ,913
食べログ 天ぷら 百名店 2023 選出店,江戸前晋作,人形町駅 152m , 天ぷら,,"￥20,000～￥29,999","￥20,000～￥29,999",4.02,日曜日,https://tabelog.com/tokyo/A1302/A130204/13270572/,予約可,完全予約制（ご予約は【OMAKASE】からネット予約）当月を含む３ヶ月分のみの受付となります。次回の予約受付は月初の１日にご予約の受付を開始致します。,日比谷線、都営浅草線人形町駅より徒歩約２分。半蔵門線水天宮前駅より徒歩約３分。 人形町駅から152m,,,カード可 （AMEX） 電子マネー不可 QRコード決済不可,"35.68562783871883,139.7840302844165",03-5615-8728,東京都中央区日本橋人形町2-10-11 KYOE PLAZA 日本橋人形町 6F,218
食べログ 天ぷら 百名店 2023 選出店,てんぷら 下村,新御徒町駅 417m , 天ぷら,,"￥10,000～￥14,999","￥10,000～￥14,999",3.84,水曜日、日曜日、祝日,https://tabelog.com/tokyo/A1311/A131101/13213663/,予約可,,つくばエクスプレス・都営大江戸線　　　新御徒町駅A4出口　徒歩５分 新御徒町駅から417m,12:00 - 13:30,■ 営業時間[月～火・木～土］最終入店19：30,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.70420733870745,139.78534668460324",03-5809-2866,東京都台東区三筋1-11-13 ,230
食べログ 天ぷら 百名店 2023 選出店,天 よこた,麻布十番駅 323m , 天ぷら、日本料理,,"￥15,000～￥19,999","￥15,000～￥19,999",3.82,水曜日,https://tabelog.com/tokyo/A1307/A130702/13258792/,完全予約制,,麻布十番駅　南北線4番出口麻布十番駅　大江戸線7番出口共に、徒歩7分 麻布十番駅から323m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.65697111530906,139.73250059232583",03-6721-0404,東京都港区元麻布3-10-5 カドル元麻布 202,136
食べログ うどん EAST 百名店 2024 選出店,手打うどん すみた,赤羽岩淵駅 534m , うどん、天ぷら、おでん,,"￥1,000～￥1,999","￥1,000～￥1,999",3.8,月曜日、日曜日,https://tabelog.com/tokyo/A1323/A132305/13003783/,予約可,夜のみ2名様から、2組まで可コース料理,東京メトロ南北線、埼玉高速鉄道【赤羽岩淵駅】徒歩９分東京メトロ南北線【志茂駅】徒歩10分ＪＲ東北本線ほか【赤羽駅】徒歩10分 赤羽岩淵駅から534m,,,カード不可 電子マネー不可 QRコード決済不可,"35.780499838640296,139.72662318541504",03-3903-0099,東京都北区志茂2-52-8 ,1303
食べログ うどん EAST 百名店 2024 選出店,手打ちうどん こげら,東村山市 , うどん、天ぷら,,～￥999,～￥999,3.8,水曜日、木曜日,https://tabelog.com/tokyo/A1328/A132805/13163619/,予約不可,,"小川駅より徒歩20分、東大和市駅より徒歩25分バス 東大和清水郵便局 または 団地南 下車徒歩５分（西武バス・久米川駅より約10分、東大和市駅より約5分、立川駅より約25分） 小川駅から1,250m",11:00 - 13:00,■ 営業時間※麺切れ次第終了,カード不可 電子マネー不可 QRコード決済不可,"35.74217533857685,139.45097558522116",042-391-6717,東京都東村山市富士見町2-6-72 ,284
食べログ 天ぷら 百名店 2023 選出店,旬恵庵 あら垣,新富町駅 413m , 天ぷら、日本料理,,"￥20,000～￥29,999","￥20,000～￥29,999",3.77,月曜日、土曜日,https://tabelog.com/tokyo/A1313/A131301/13210026/,予約可,ご予約は、お電話またはインターネットの予約サイト（ポケットコンシェルジュ）からお願いいたします。Please make your reservation through Pocket Concierge (online).,新富町駅　徒歩5分 新富町駅から413m,18:00 - 23:00L.O. 料理20:00,予約時間は最初にご予約いただいたお客様のお時間に合わせていただきますので、日々変動いたします。,カード可 電子マネー不可 QRコード決済不可,"35.66962263872715,139.77818038425895",090-7716-4125,東京都中央区湊3-5-10 ,79
食べログ そば EAST 百名店 2024 選出店,神楽坂 大川や,神楽坂駅 191m , そば、天ぷら,,"￥6,000～￥7,999","￥6,000～￥7,999",3.76,月曜日、火曜日,https://tabelog.com/tokyo/A1309/A130905/13197727/,予約可,お昼は予約不可。夜のみ予約可。4名まで。夜の予約は「お酒と一品料理と蕎麦」をコンセプト。お酒の飲めない方（お連れ様も同様）は予約できません。夜お子様はご遠慮いただいていおります。土日（昼）は出来るだけ多くの方に提供出来るよう1組60分以内の制限あり。ランチの混雑時電話対応ができない場合があります事をご了承ください。［年越しそば］1箱3人前 3300円税込　海老天（大海老2尾）1箱1600円,東西線「神楽坂」1番出口より、徒歩1分。大江戸線「牛込神楽坂」A3出口より、徒歩5分。 神楽坂駅から191m,,,カード可 （JCB） 電子マネー不可 QRコード決済不可,"35.70365473869223,139.73646048463195",03-3269-5011,東京都新宿区神楽坂6-25 ,389
食べログ 天ぷら 百名店 2023 選出店,天麩羅 巽,大手町駅 270m , 天ぷら,,"￥20,000～￥29,999","￥20,000～￥29,999",3.76,-,https://tabelog.com/tokyo/A1302/A130201/13141129/,予約可,,地下鉄「大手町駅」C13b出口より地下通路直結JR「東京駅」丸の内北口より徒歩8分*「東京駅」より地下通路もご利用いただけます。 大手町駅から270m,11:30 - 14:30,■ 営業時間最新情報はパレスホテル東京公式ウェブサイトにてご確認ください。■ 定休日無休,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.684793629488695,139.76149982939424",03-3211-5322,東京都千代田区丸の内 1-1-1 パレスホテル東京 6F,81
食べログ 天ぷら 百名店 2023 選出店,天ぷら 元吉,恵比寿駅 374m , 天ぷら,,"￥30,000～￥39,999","￥30,000～￥39,999",3.76,日曜日,https://tabelog.com/tokyo/A1303/A130302/13270939/,予約可,,恵比寿駅から374m,17:30 - 23:00,■ 営業時間1部17:30～20:002部20:30～23:00■ 定休日月曜日の祝日,カード可 （AMEX） 電子マネー不可 QRコード決済不可,"35.64955973871741,139.70762678410574",03-6455-0200,東京都渋谷区恵比寿西2-8-11 グランベル恵比寿Ⅳ 3F,61
食べログ 天ぷら 百名店 2023 選出店,天ぷら 福たろう,根津駅 242m , 天ぷら、日本料理、うなぎ,【根津駅3分】完全予約制◆確かな技が光る鮮度が自慢の「天ぷら」は、2種の油を使い分けご提供,"￥15,000～￥19,999","￥15,000～￥19,999",3.74,,https://tabelog.com/tokyo/A1311/A131106/13204299/,完全予約制,食べログでネット予約が出来ない場合は、ホームページからテーブルチェックで承れます。お電話でも承っております。キャンセルポリシー２日前より全額のキャンセル料がかかります,千代田線根津駅1番出口徒歩3分 根津駅から242m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済可 （PayPay）,"35.71917163869218,139.7672452847671",03-5834-2955,東京都台東区谷中1-2-17 ,148
食べログ 天ぷら 百名店 2023 選出店,天婦羅 みやしろ,中目黒駅 337m , 天ぷら、日本料理、海鮮,【中目黒駅徒歩3分】ミシュラン一つ星6年連続獲得！料理全てこだわりぬいて調理しております。,"￥20,000～￥29,999","￥20,000～￥29,999",3.73,,https://tabelog.com/tokyo/A1317/A131701/13220479/,完全予約制,必ず、当店からの折り返し連絡（ショートメール）をご確認ください。当店からの予約サイトに、仮払い登録完了後、ご正式に予約確定となします。ご注意ください。キャンセルポリシー　当日　前日　100％　前々日　50％　頂戴致します※予約時間３０分以上、来店されない場合も、キャンセル扱いとさせていただきます。,中目黒駅　南改札を出て　東口２　から　徒歩3分　（目黒銀座商店街　野菜を路面で販売しているFamilyMart近所） 中目黒駅から337m,,,カード可 電子マネー不可 QRコード決済不可,"35.64155553521499,139.69729483559908",03-6452-2808,東京都目黒区上目黒2-18-11 ,381
