awards,name,station,genre,pr,dinner_budget,lunch_budget,rating,holiday,url,reserve_status,reserve_method,transportation,opening_time,extra_holiday_info,payment_methods,geo_coordinates,telephone,address,num_review
The Tabelog Award 2024 Silver 受賞店,赤坂 らいもん,赤坂見附駅 90m , 焼肉、ホルモン,,"￥15,000～￥19,999","￥15,000～￥19,999",4.46,-,https://tabelog.com/tokyo/A1308/A130801/13224635/,完全予約制,,赤坂見附駅から90m,18:00 - 20:11,■ 定休日不定休,カード不可 電子マネー不可 QRコード決済不可,"35.676868138709175,139.73624408436154",03-3583-7012,東京都港区赤坂3-9-12 メトロビル 4F,428
The Tabelog Award 2024 Silver 受賞店,蕃 YORONIKU,恵比寿駅 166m , 焼肉、ホルモン,美食の街、恵比寿に佇む 肉ラヴァーを魅了し続ける ～新世代の肉割烹～,"￥10,000～￥14,999","￥10,000～￥14,999",4.36,,https://tabelog.com/tokyo/A1303/A130302/13211927/,予約可,,ＪＲ山手線・埼京線【恵比寿駅】東口　徒歩２分東京メトロ日比谷線【恵比寿駅】徒歩４分 恵比寿駅から166m,17:00 - 00:00L.O. 23:00,■ 定休日年末年始(12/31〜1/4),カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.646356738720776,139.71180558407045",03-3440-4629,東京都渋谷区恵比寿1-11-5 GEMS恵比寿 8F,1531
The Tabelog Award 2024 Bronze 受賞店,炭焼 金竜山,白金高輪駅 595m , 焼肉,,"￥15,000～￥19,999","￥15,000～￥19,999",4.34,月曜日,https://tabelog.com/tokyo/A1316/A131602/13001625/,完全予約制,,白金高輪から徒歩15分です。10分では着かないと思います。 白金高輪駅から595m,18:00 - 22:00,■ 営業時間18:00～20:00と20:00～22:00の2時間　2部制。土日は、16:00～です。,カード不可 電子マネー不可 QRコード決済不可,"35.645338658826475,139.72831329100052",不明の為情報お待ちしております,東京都港区白金3-14-1 第１マンション　１Ｆ,930
The Tabelog Award 2024 Silver 受賞店,焼肉 ジャンボ はなれ,本郷三丁目駅 208m , 焼肉、ホルモン,お腹を空かせて訪れたい、肉の名店！美食家を圧倒する肉の真髄に酔いしれる,"￥10,000～￥14,999","￥10,000～￥14,999",4.3,-,https://tabelog.com/tokyo/A1310/A131004/13160962/,予約可,,メトロ丸ノ内線・都営大江戸線「本郷三丁目駅」より徒歩4～5分 本郷三丁目駅から208m,17:00 - 00:00L.O. 23:00,■ 定休日不定休,カード可 （VISA、Master、JCB、AMEX、Diners）,"35.70661223869864,139.7624275846436",03-5689-8705,東京都文京区本郷3-27-9 アンリツビル B1F～1F,1268
The Tabelog Award 2024 Bronze 受賞店,焼肉 静龍苑,清澄白河駅 176m , 焼肉,,"￥15,000～￥19,999","￥15,000～￥19,999",4.29,-,https://tabelog.com/tokyo/A1313/A131303/13237978/,完全予約制,電話予約可能な時間帯[10:00~17:00],清澄白河駅から176m,,,カード不可 電子マネー不可 QRコード決済不可,"35.684276338724246,139.79833208439283",03-3632-2348,東京都江東区常盤2-14-11 ,1254
The Tabelog Award 2024 Silver 受賞店,スタミナ苑,足立区 , 焼肉、ホルモン,【スタミナ苑から大事なお知らせ】詳細は…当ページ下部「備考欄」のホームページにて限定公開中,"￥6,000～￥7,999","￥6,000～￥7,999",4.28,火曜日、水曜日,https://tabelog.com/tokyo/A1323/A132305/13003777/,予約不可,当店はご予約を受けておりません。沢山のお電話を頂戴しますが、ご来店順にてのご案内となります。,"赤羽駅・十条駅・西新井駅からバス（来店方法は、店のHPに詳しい）タクシーをご利用の場合、ＪＲ王子駅が最適です。日暮里・舎人ライナーでタクシーをご利用の際は江北駅が比較的拾いやすいかも知れません。距離的な最寄り駅は西新井大師西駅か、ＪＲ東十条駅ですがどちらも徒歩３０分で現実的ではありません（西新井大師西も東十条もタクシー拾いにくいです）王子神谷から都営バス49で「鹿浜三丁目」下車5分。バスから降りて右手の最初の角を左折、次の角を左折。 西新井大師西駅から1,611m",16:00 - 22:00L.O. 21:30,■ 営業時間■1回転目入店推奨来店時間：・平日14時頃・土日13時頃【1月の臨時営業日】・1月22日（月）臨時定休日・1月23日（火）定休日・1月24日（水）臨時営業日【2月の臨時営業日】・2月19日（月）臨時定休日・2月20日（火）定休日・2月21日（水）定休日,カード不可 電子マネー不可 QRコード決済不可,"35.77992603864887,139.75239988539118",03-3897-0416,東京都足立区鹿浜3-13-4 ,2131
The Tabelog Award 2024 Bronze 受賞店,USHIGORO S. GINZA,銀座駅 345m , 焼肉,全席完全個室、すべてにこだわり抜いた”うしごろ”の最高峰ブランド,"￥20,000～￥29,999","￥20,000～￥29,999",4.25,,https://tabelog.com/tokyo/A1301/A130101/13222093/,予約可,■4名様以上のご予約をおすすめしております。■表示価格に10％のサービス料と消費税を頂戴いたします。,東京メトロ 銀座線、日比谷線、丸ノ内線銀座駅 B3番出口より徒歩3分 / A1番出口より徒歩5分東京メトロ 日比谷線、浅草線東銀座駅 A1番出口より徒歩7分JR有楽町駅 中央口より徒歩7分JR新橋駅 銀座口より徒歩8分 銀座駅から345m,17:00 - 23:30L.O. 21:00,■ 営業時間月曜祝日の場合、翌水曜をランチ休業とします。■ 定休日12/31・1/1・１/2・1/3,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.66931073872219,139.7620221842671",03-3289-1129,東京都中央区銀座7-7-7 GINZA777 ADC BUILDING 6F,744
The Tabelog Award 2024 Bronze 受賞店,よろにく,表参道駅 713m , 焼肉、ホルモン,"焼肉の概念を覆し、新たな流れを築き上げた""新世代の肉割烹""","￥10,000～￥14,999","￥10,000～￥14,999",4.24,,https://tabelog.com/tokyo/A1306/A130602/13042979/,予約可,,・地下鉄表参道駅B1出口より　徒歩10分 表参道駅から713m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.66024583871379,139.7175651842067",03-3498-4629,東京都港区南青山6-6-22 ルナロッサ　Ｂ１Ｆ,2471
The Tabelog Award 2024 Bronze 受賞店,炭火焼肉 なかはら,市ケ谷駅 326m , 焼肉,和牛のポテンシャルを極限まで引き出す、カッティングの妙。食通をも唸らせる炭火焼肉の名店,"￥20,000～￥29,999","￥20,000～￥29,999",4.12,水曜日,https://tabelog.com/tokyo/A1309/A130904/13175110/,予約可,・御予約は予約サイトのテーブルチェックから登録お願い致します。電話での予約は受け付けていません。,ＪＲ中央線【市ケ谷駅】徒歩２分都営地下鉄新宿線【市ヶ谷駅】徒歩２分東京メトロ有楽町線・南北線【市ケ谷駅】徒歩４分 東京メトロ有楽町線【麹町駅】徒歩５分 市ケ谷駅から326m,18:00 - 23:00,■ 営業時間[平日]一部：18:00～二部：20:30～[土・日・祝]一部：17:00～二部：19:30～■定休日水曜日,カード可 （VISA、Master、JCB、AMEX） 電子マネー不可 QRコード決済不可,"35.68916803870105,139.7352472844865",03-6261-2987,東京都千代田区六番町4-3 GEMS市ヶ谷 9F,670
食べログ 焼肉 TOKYO 百名店 2024 選出店,YORONIKU TOKYO AZABUDAIHILLS,六本木一丁目駅 492m , 焼肉,,"￥15,000～￥19,999","￥15,000～￥19,999",4.12,月曜日,https://tabelog.com/tokyo/A1307/A130701/13291424/,予約可,,東京メトロ日比谷線 神谷町駅 5番出口 直結 六本木一丁目駅から492m,17:00 - 23:00L.O. 22:00,年末年始はお休み,カード可 （VISA、Master、JCB、AMEX、Diners、UnionPay） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、nanaco、WAON、iD、QUICPay） QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY、Alipay、WeChat Pay）,"35.66079082158029,139.74001605208605",03-5549-4629,東京都港区麻布台1-3-1 麻布台ヒルズ タワープラザ 3F,109
