awards,name,station,genre,pr,dinner_budget,lunch_budget,rating,holiday,url,reserve_status,reserve_method,transportation,opening_time,extra_holiday_info,payment_methods,geo_coordinates,telephone,address,num_review
The Tabelog Award 2024 Gold 受賞店,かさ原,神楽坂駅 566m , 焼き鳥,限界を突破し続ける、焼き鳥界の奇才。,"￥20,000～￥29,999","￥20,000～￥29,999",4.51,-,https://tabelog.com/tokyo/A1309/A130905/13266251/,完全予約制,通常はOMAKASE、限定席は食オクからのご予約となります。,神楽坂駅から566m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.706384538691566,139.73980728465716",不明の為情報お待ちしております,東京都新宿区東五軒町5-5 2F,365
The Tabelog Award 2024 Silver 受賞店,鳥しき,目黒駅 111m , 焼き鳥,,"￥6,000～￥7,999","￥6,000～￥7,999",4.49,月曜日、火曜日、日曜日,https://tabelog.com/tokyo/A1316/A131601/13041029/,予約可,※毎月最初の営業日に、お電話にて2ケ月先の月の予約を受け付けております。（例：12月ならば2月分）※予約は17時から19時まで、お電話にて受け付けております。※2025年2月ご予約に関しては下記の間でお受けいたします。12月4日 水曜日   17：00～19：00※FAXでの予約は受け付けておりません。,目黒駅から徒歩2分JR目黒駅東口(バスのロータリーがある)を出て「すき家」の右横を通り、「マクドナルド」を越えて道なりに進んで左折します。左折して10メートルほど進むと、1Ｆが薬局（高木薬局）のビルとファミリーマートの間の路地を入ったところ。 目黒駅から111m,,,カード可 （VISA、Master、JCB、Diners） 電子マネー不可 QRコード決済不可,"35.634277838730064,139.71688908394486",03-3440-7656,東京都品川区上大崎2-14-12 ,1235
The Tabelog Award 2024 Silver 受賞店,オオクサ,四谷三丁目駅 195m , 焼き鳥,毎日目利きして仕入れるブランド地鶏を大振りカット。備長炭でじっくりと焼き上げる。,"￥8,000～￥9,999","￥8,000～￥9,999",4.38,-,https://tabelog.com/tokyo/A1309/A130903/13240980/,予約可,焼鳥店同業者様のご予約はお断り致します1週間以内のお好きな日程でご予約お受け致します1週間以上先のご予約はお受けしておりません電話予約は1週間前の昼12:00からお受け致します(例) ある週の土曜日でお席を予約したい場合、その1週間前の土曜日、昼12:00から予約を開始致します1週間前予約日が定休日の場合は、翌営業日に受付致します電話受付時間 昼12:00〜,四谷三丁目駅から徒歩4分。住所 東京都新宿区荒木町７−１３ 森戸ビル1F 四谷三丁目駅から195m,,,カード不可 電子マネー不可 QRコード決済不可,"35.689104038696954,139.7222647844949",03-6709-8874,東京都新宿区荒木町7-13 森戸ビル 1Ｆ,360
The Tabelog Award 2024 Bronze 受賞店,焼鳥 おみ乃,押上駅 236m , 焼き鳥、鳥料理,名店 鳥しきで６年間修行した店主が、一つ一つ丁寧に焼き上げる焼鳥の数々をご堪能下さい。,"￥10,000～￥14,999","￥10,000～￥14,999",4.25,日曜日,https://tabelog.com/tokyo/A1312/A131203/13206654/,予約可,受付時間：10:00-16:00ご予約は翌々月分まで受付しております。例）12月分は10月から受付開始キャンセルポリシー7日前からのキャンセル30%3日前からのキャンセル50%前日からのキャンセル100%※営業時間中はお電話に出られないこともございますので、予めご了承願います。,押上駅B3又はA1出口より徒歩3分 押上駅から236m,16:30 - 22:30,【休業日】11月3.4.10.11.17.18.24.2512月1.2.8.9.15.16.22.23.29〜311月1〜5.12.19.20.26.27※21:00 最終入店※当店はキャッシュレス会計のみとなります。,カード可 電子マネー可 （交通系電子マネー（Suicaなど）、QUICPay） QRコード決済可,"35.70986433871358,139.81589078463898",03-5619-1892,東京都墨田区押上1-38-4 清流ビル１Ｆ,1256
The Tabelog Award 2024 Bronze 受賞店,南青山 七鳥目,広尾駅 691m , 焼き鳥,南青山 七鳥目 焼鳥と旬野菜,"￥8,000～￥9,999","￥8,000～￥9,999",4.25,土曜日、日曜日,https://tabelog.com/tokyo/A1307/A130703/13200559/,完全予約制,ご予約はウェブサイトのみとなっております。毎月1日より翌々月分のご予約を「OMAKASE」にて受け付けております。例：12月分のご予約は10月1日より受付開始※お電話・メールでのお問い合わせは受け付けておりませんので、ご了承ください。,地下鉄日比谷線 広尾駅 徒歩10分地下鉄半蔵門線 表参道駅 徒歩15分JR山手線 恵比寿駅 タクシー5分 広尾駅から691m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可,"35.657101438715934,139.71803628417464",03-6427-3239,東京都港区南青山7-13-13 フォレストビル B1F,392
The Tabelog Award 2024 Bronze 受賞店,活鰻の店 つぐみ庵,駒込駅 478m , うなぎ、焼き鳥,,"￥15,000～￥19,999","￥15,000～￥19,999",4.25,月曜日,https://tabelog.com/tokyo/A1323/A132301/13080463/,完全予約制,,JR 駒込駅東口　徒歩7分 駒込駅から478m,12:00 - 14:00,■ 定休日月に1度日曜日休日（不定）,カード不可 電子マネー不可 QRコード決済不可,"35.73790863867566,139.75274888496654",03-3823-4591,東京都北区中里1-29-1 ,197
食べログ 焼き鳥 EAST 百名店 2024 選出店,薪鳥新神戸,赤坂見附駅 113m , 焼き鳥、鳥料理,,"￥20,000～￥29,999","￥20,000～￥29,999",4.2,-,https://tabelog.com/tokyo/A1308/A130801/13291292/,完全予約制,OMAKASEのサイトからのみ予約可能,東京メトロ赤坂見附駅10番出口から徒歩2分東京メトロ赤坂駅1番出口から徒歩9分 赤坂見附駅から113m,,,カード可 電子マネー不可 QRコード決済可 （d払い）,"35.67728121337785,139.73620310950287",不明の為情報お待ちしております,東京都港区赤坂3-9-2 No.R赤坂見附 1F,345
食べログ 焼き鳥 EAST 百名店 2024 選出店,鍈輝,恵比寿駅 627m , 焼き鳥,名店の系譜を引く、東京新時代焼き鳥の代表格。,"￥10,000～￥14,999","￥10,000～￥14,999",4.12,日曜日,https://tabelog.com/tokyo/A1303/A130302/13230923/,予約不可,新規の電話予約は受付をしておりません。予約サイト食オクにて限定席のご予約を承ります。,恵比寿駅から627m,18:00 - 23:00,■ 営業時間18:00〜23:00(最終入店)■ 定休日(別途2日間お休みあり),カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.645687638722805,139.71684148406018",不明の為情報お待ちしております,東京都渋谷区恵比寿2-10-5 ROZIS 1F,304
食べログ 焼き鳥 EAST 百名店 2024 選出店,とり茶太郎,渋谷駅 468m , 焼き鳥,,"￥10,000～￥14,999","￥10,000～￥14,999",4.09,月曜日、火曜日,https://tabelog.com/tokyo/A1303/A130301/13157208/,完全予約制,完全予約制OMAKASEサイトよりご予約をお願いいたします。（お電話でのご予約は現在承っておりません。）cancel fee3日前　50%当日　100%※小さなお子様のご入店はお断りしております。,渋谷駅徒歩10分ほど 渋谷駅から468m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.65410343871279,139.70214188415548",03-6416-0364,東京都渋谷区鶯谷町7-12 TAKビル 1F,570
食べログ 焼き鳥 EAST 百名店 2024 選出店,鳥匠いし井ひな,麻布十番駅 761m , 焼き鳥、鳥料理,,"￥15,000～￥19,999","￥15,000～￥19,999",4.09,-,https://tabelog.com/tokyo/A1307/A130702/13271040/,完全予約制,※電話でのご予約は受け付けておりません。【電話ご対応時間】12:00～16:00ご予約は「OMAKASE」サイトからのみ承っております。（営業中は電話対応が難しくなっております。予めご了承下さいますようお願い申し上げます）,"※ナビで住所を直接検索すると反対側（2階鮨屋側）に到着してしまう場合があります。Googleマップで「鳥匠いし井ひな」を検索していただくとスムーズにルートが出ます。タクシーで2階に到着してしまった際はビル内からお迎えにあがりますので、迂回せずお電話ください。03-6722-0034If you search for the address directly on your navigation system, you may end up on the opposite side (the sushi restaurant side on the 2nd floor).Searching for ""Torisho Ishii Hina"" on Google Maps will give you a smooth route.If you arrive on the 2nd floor by taxi, we will pick you up from inside the building, so please call us without making a detour. 03-6722-0034 麻布十番駅から761m",,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.650033988846374,139.73334102744818",03-6722-0034,東京都港区南麻布1-27-7 クリフサイドビル 1F,406
食べログ 焼き鳥 EAST 百名店 2024 選出店,酒亭 田中,鐘ケ淵駅 362m , 焼き鳥、鳥料理、居酒屋,,"￥10,000～￥14,999","￥10,000～￥14,999",4.04,-,https://tabelog.com/tokyo/A1312/A131203/13285811/,完全予約制,電話では予約を受けていません。tablecheckでの予約,東武スカイツリーライン【鐘ヶ淵駅】徒歩５分 鐘ケ淵駅から362m,17:30 - 19:30,"・17:30〜セットメニュー7,000円　[税込]・20:00〜アラカルトチャージ1,600円　[税込](お通し＋漬物)",カード不可 電子マネー不可 QRコード決済不可,"35.73070163870152,139.8195496848469",03-3617-6615,東京都墨田区墨田3-25-7 ,208
食べログ 焼き鳥 EAST 百名店 2024 選出店,YAKITORI 燃 es,六本木駅 142m , 焼き鳥,,"￥10,000～￥14,999","￥10,000～￥14,999",4.02,日曜日,https://tabelog.com/tokyo/A1307/A130701/13259508/,完全予約制,OMAKASE でのみ予約受付18:00〜20:1519:00〜20:40〜各８席のご案内で、お料理は一斉スタートとさせて頂いております。遅刻なさった場合は品数が減ります事をご了承下さい、,東京メトロ六本木駅徒歩3分都営大江戸線六本木駅徒歩3分 六本木駅から142m,18:00 - 23:00,■ 定休日不定休,カード可 電子マネー不可 QRコード決済不可,"35.663726438715635,139.73028618423294",非公開,東京都港区六本木7-13-10 宮下ビル 1F,514
食べログ 焼き鳥 EAST 百名店 2024 選出店,鳥さわ22,広尾駅 768m , 焼き鳥,,"￥8,000～￥9,999","￥8,000～￥9,999",3.98,-,https://tabelog.com/tokyo/A1307/A130703/13222625/,完全予約制,,広尾駅から768m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.65819623871546,139.71871578418524",03-3499-1808,東京都港区西麻布4-18-17 ,352
